PVWatts: Hourly PV Performance Data;;;;;;;;;;
Requested Location:;montpelleir, france;;;;;;;;;
Location:;MONTPELLIER, FRANCE;;;;;;;;;
Lat (deg N):;43.58;;;;;;;;;
Lng (deg E):;3.97;;;;;;;;;
Elev (m):;6;;;;;;;;;
DC System Size (kW):;8.505;;;;;;;;;
Module Type:;Premium;;;;;;;;;
Array Type:;Fixed (open rack);;;;;;;;;
Array Tilt (deg):;0;;;;;;;;;
Array Azimuth (deg):;180;;;;;;;;;
System Losses:;14.08;;;;;;;;;
Invert Efficiency:;96;;;;;;;;;
DC to AC Size Ratio:;1.2;;;;;;;;;
;;;;;;;;;;
Month;Day;Hour;Beam Irradiance (W/m^2);Diffuse Irradiance (W/m^2);Ambient Temperature (C);Wind Speed (m/s);Plane of Array Irradiance (W/m^2);Cell Temperature (C);DC Array Output (W);AC System Output (W)
7;24;15;782;128;29.8;6.2;719.926;42.291;4920.062;4735.271
7;24;16;709;114;29;5.1;557.895;39.774;3814.668;3670.863
7;24;17;524;123;28;4.1;368.52;35.738;2504.371;2402.229
7;24;18;272;101;27.3;4.1;181.292;30.694;1209.78;1141.432
7;24;19;10;38;27;3.1;39.186;26.993;280.332;231.727
7;24;20;0;1;26;2.1;1;24.538;7.319;0
7;24;21;0;0;24.4;1;0;24.4;0;0
7;24;22;0;0;23;0;0;23;0;0
7;24;23;0;0;21;1;0;21;0;0
7;25;0;0;0;20.7;2.1;0;20.7;0;0
7;25;1;0;0;20.3;1.4;0;20.3;0;0
7;25;2;0;0;20;0.7;0;20;0;0
7;25;3;0;0;19.6;0;0;19.6;0;0
7;25;4;0;0;20;3.1;0;20;0;0
7;25;5;0;5;19;3.1;5;17.505;37.496;0
7;25;6;70;61;20.3;3.1;73.061;20.485;512.502;459.319
7;25;7;305;129;23.1;3.1;235.544;27.366;1622.474;1544.148
7;25;8;536;147;26;3.1;425.151;35.084;2926.465;2811.722
7;25;9;651;165;28;3.1;600.627;41.5;4099.893;3946.023
7;25;10;762;148;27;5.1;749.73;41.207;5151.424;4957.378
7;25;11;830;131;25;6.2;854.927;39.625;5920.384;5693.898
7;25;12;865;118;25.4;6.2;906.112;41.032;6245.788;6004.796
7;25;13;852;128;27;5.1;897.988;44.478;6110.174;5875.285
7;25;14;830;124;27;5.1;829.98;43.182;5669.73;5454.103
7;25;15;758;138;25.8;4.1;710.468;41.18;4875.61;4692.57
7;25;16;584;164;26;3.1;528.539;38.541;3636.286;3498.594
7;25;17;241;192;23;3.1;304.418;29.984;2144.312;2052.305
7;25;18;0;97;22.8;2.1;97;24.669;709.648;652.393
7;25;19;0;26;22;1;26;21.151;192.555;145.619
7;25;20;0;1;22;2.1;1;20.356;7.426;0
7;25;21;0;0;21.9;1;0;21.9;0;0
7;25;22;0;0;21.9;2.6;0;21.9;0;0
7;25;23;0;0;22;4.1;0;22;0;0
7;26;0;0;0;22.1;2.1;0;22.1;0;0
7;26;1;0;0;21.7;2.4;0;21.7;0;0
7;26;2;0;0;21.2;2.8;0;21.2;0;0
7;26;3;0;0;20.8;3.1;0;20.8;0;0
7;26;4;0;0;20;2.1;0;20;0;0
7;26;5;0;5;19;2.1;5;17.287;37.524;0
7;26;6;66;60;20.1;2.1;71.204;20.227;500.831;447.884
7;26;7;316;120;22.2;3.5;229.652;26.154;1582.756;1505.423
7;26;8;457;155;24.2;4.8;391.196;31.185;2735.038;2626.106
7;26;9;219;303;26.3;6.2;449.132;33.544;3171.353;3048.941
7;26;10;466;286;27;7.2;653.18;36.887;4564.138;4393.126
7;26;11;595;287;26;7.2;804.997;38.469;5599.901;5387.25
7;26;12;747;205;26.4;8.7;884.432;38.703;6149.368;5912.724
7;26;13;798;161;26;8.8;880.929;38.22;6135.097;5899.092
7;26;14;803;139;26;8.8;820.692;37.376;5727.968;5509.843
7;26;15;743;146;25.8;7.2;705.819;36.878;4920.983;4736.156
7;26;16;686;121;26;6.2;547.865;35.326;3807.175;3663.629
7;26;17;511;125;25.2;5.6;362.252;31.525;2498.513;2396.541
7;26;18;259;100;24.4;5.1;175.23;27.201;1184.04;1116.29
7;26;19;0;36;24;4.1;36;23.808;264.168;215.873
7;26;20;0;1;23.6;3.1;1;22.225;7.378;0
7;26;21;0;0;23.2;2.1;0;23.2;0;0
7;26;22;0;0;22.6;2.1;0;22.6;0;0
7;26;23;0;0;22;2.1;0;22;0;0
7;27;0;0;0;22.2;1;0;22.2;0;0
7;27;1;0;0;21.9;1;0;21.9;0;0
7;27;2;0;0;21.5;1;0;21.5;0;0
7;27;3;0;0;21.2;1;0;21.2;0;0
7;27;4;0;0;21;1;0;21;0;0
7;27;5;0;2;21;0;2;17.506;14.998;0
7;27;6;0;38;21;1;38;20.007;282.538;233.891
7;27;7;212;127;22;1;200.064;26.494;1394.435;1321.714
7;27;8;494;159;24;1.5;413.266;34.756;2850.249;2737.838
7;27;9;681;150;26;2.1;603.098;41.219;4118.591;3964.049
7;27;10;792;132;28;2.1;754.648;47.436;5064.287;4873.754
7;27;11;848;119;28;4.1;855.846;46.183;5782.891;5562.396
7;27;12;872;113;29.2;4.1;904.718;48.536;6062.38;5829.623
7;27;13;861;122;29;6.2;897.361;44.585;6103.162;5868.586
7;27;14;842;116;28;7.2;829.358;41.131;5708.395;5491.111
7;27;15;771;132;28.1;6.2;711.488;40.411;4895.504;4711.681
7;27;16;697;117;28;6.2;549.289;37.389;3787.152;3644.299
7;27;17;517;123;26;5.1;361.869;32.717;2483.191;2381.662
7;27;18;258;100;25.1;5.1;174.295;27.896;1174.092;1106.572
7;27;19;0;35;24;2.1;35;23.821;256.818;208.664
7;27;20;0;0;23;2.1;0;23;0;0
7;27;21;0;0;23;2.1;0;23;0;0
7;27;22;0;0;22.3;1.7;0;22.3;0;0
7;27;23;0;0;21.7;1.4;0;21.7;0;0
7;28;0;0;0;21;1;0;21;0;0
7;28;1;0;0;20.6;1.4;0;20.6;0;0
7;28;2;0;0;20.3;1.7;0;20.3;0;0
7;28;3;0;0;19.9;2.1;0;19.9;0;0
7;28;4;0;0;20;3.1;0;20;0;0
7;28;5;0;2;19;2.1;2;17.202;15.014;0
7;28;6;0;37;20;3.1;37;19.304;275.768;227.251
7;28;7;46;125;22;3.1;140.744;23.918;1019.158;955.167
7;28;8;125;223;23;2.1;287.068;29.357;2048.403;1959
7;28;9;182;324;25.2;5.1;444.735;33.081;3147.288;3025.642
7;28;10;192;405;25;3.1;555.598;37.547;3877.319;3731.333
7;28;11;172;482;27;5.1;631.162;38.885;4386.46;4222.121
7;28;12;308;387;26.8;6.2;666.131;38.073;4643.426;4469.393
7;28;13;513;337;27;6.2;798.108;40.576;5511.239;5302.336
7;28;14;664;238;26;6.2;799.372;39.747;5531.834;5322.064
7;28;15;746;144;26.5;6.2;703.261;38.611;4871.248;4688.379
7;28;16;579;164;26;6.2;521.876;34.876;3637.015;3499.298
7;28;17;236;190;25;8.2;298.484;28.966;2108.94;2017.898
7;28;18;0;93;24.7;8.2;93;25.463;678.496;621.896
7;28;19;0;18;24;8.2;18;23.475;132.237;86.429
7;28;20;0;0;24;8.8;0;24;0;0
7;28;21;0;0;24.3;8.7;0;24.3;0;0
7;28;22;0;0;24;8.8;0;24;0;0
7;28;23;0;0;24;9.3;0;24;0;0
7;29;0;0;0;24;9.8;0;24;0;0
7;29;1;0;0;24;9.3;0;24;0;0
7;29;2;0;0;23.9;8.7;0;23.9;0;0
7;29;3;0;0;23.9;8.2;0;23.9;0;0
7;29;4;0;0;24;7.2;0;24;0;0
7;29;5;0;2;23;8.2;2;22.144;14.761;0
7;29;6;0;36;24;8.2;36;23.658;264.305;216.008
7;29;7;38;126;24;8.2;138.913;25.193;1003.461;939.822
7;29;8;123;221;25;8.2;283.773;28.417;2031.555;1942.605
7;29;9;221;299;22.2;2.1;445.166;33.085;3147.837;3026.173
7;29;10;243;326;25;5.1;516.153;34.493;3640.727;3502.884
7;29;11;120;427;27;5.1;530.857;36.913;3716.331;3575.913
7;29;12;72;429;28;3.1;494.128;39.342;3429.199;3298.43
7;29;13;77;420;28.5;3.8;489.077;38.909;3399.475;3269.684
7;29;14;77;389;28.9;4.4;453.957;38.069;3164.587;3042.39
7;29;15;62;343;29.4;5.1;389.356;36.555;2728.192;2619.465
7;29;16;32;281;29;6.2;300.709;33.738;2127.704;2036.151
7;29;17;21;187;27;6.2;196.602;29.794;1408.803;1335.736
7;29;18;0;94;26.8;4.1;94;27.971;679.762;623.136
7;29;19;0;18;26;5.1;18;25.367;131.366;85.574
7;29;20;0;0;25;5.1;0;25;0;0
7;29;21;0;0;24.1;4.1;0;24.1;0;0
7;29;22;0;0;23.5;5.1;0;23.5;0;0
7;29;23;0;0;23;6.2;0;23;0;0
7;30;0;0;0;22.2;4.1;0;22.2;0;0
7;30;1;0;0;21.4;3.4;0;21.4;0;0
7;30;2;0;0;20.7;2.8;0;20.7;0;0
7;30;3;0;0;19.9;2.1;0;19.9;0;0
7;30;4;0;0;20;2.1;0;20;0;0
7;30;5;0;3;20;1;3;17.807;22.474;0
7;30;6;0;35;20.1;3.1;35;19.36;260.811;212.58
7;30;7;6;121;20;3.1;123.024;21.451;908.396;846.864
7;30;8;24;216;20;4.1;228.195;23.8;1671.063;1591.514
7;30;9;27;310;19.6;5.1;327.803;25.054;2393.284;2294.33
7;30;10;75;352;19.7;5.8;410.548;26.371;2983.833;2867.317
7;30;11;77;400;19.7;6.5;466.504;26.952;3384.896;3255.583
7;30;12;77;423;19.8;7.2;492.515;27.065;3572.592;3437.049
7;30;13;78;419;20;6.2;488.833;27.962;3534.612;3400.342
7;30;14;77;388;21;4.1;452.81;30.364;3245.773;3120.979
7;30;15;61;341;22.2;1;386.482;34.398;2729.342;2620.581
7;30;16;31;279;22;4.1;298.022;27.86;2153.47;2061.212
7;30;17;20;186;22.3;2.6;195.094;26.414;1414.93;1341.716
7;30;18;0;92;22.6;1;92;24.431;673.628;617.13
7;30;19;0;19;21.3;2.6;19;20.392;141.082;95.11
7;30;20;0;0;20;4.1;0;20;0;0
7;30;21;0;0;19.8;5.1;0;19.8;0;0
7;30;22;0;0;18;3.1;0;18;0;0
7;30;23;0;0;18.1;3.1;0;18.1;0;0
7;31;0;0;0;18.2;3.1;0;18.2;0;0
7;31;1;0;0;18.1;3.8;0;18.1;0;0
7;31;2;0;0;17.9;4.4;0;17.9;0;0
7;31;3;0;0;17.8;5.1;0;17.8;0;0
7;31;4;0;0;16;2.1;0;16;0;0
7;31;5;0;3;17;4.1;3;15.568;22.646;0
7;31;6;52;55;17.5;5.1;63.139;17.431;451.144;399.194
7;31;7;292;126;19;5.1;223.789;22.17;1564.978;1488.087
7;31;8;512;160;21;5.6;419.007;27.84;2957.633;2841.927
7;31;9;650;177;23;6.2;604.241;32.896;4253.7;4094.256
7;31;10;762;156;25;6.2;749.389;37.641;5215.455;5018.807
7;31;11;709;214;25;3.1;825.051;44.275;5615.393;5402.083
7;31;12;451;384;25.8;2.1;790.34;46.779;5332.688;5131.229
7;31;13;567;325;27;6.2;831.574;41.299;5726.462;5508.402
7;31;14;688;220;28;7.2;797.716;40.567;5502.793;5294.245
7;31;15;707;173;28.4;5.1;698.622;41.957;4779.55;4600.266
7;31;16;643;151;28;4.1;544.028;39.672;3720.483;3579.923
7;31;17;463;147;28;5.1;356.326;34.638;2432.635;2332.557
7;31;18;239;101;27.1;4.1;167.214;30.166;1117.768;1051.543
7;31;19;0;30;25.5;3.1;30;25.198;219.073;171.637
7;31;20;0;0;23.9;2.1;0;23.9;0;0
7;31;21;0;0;22.5;2.1;0;22.5;0;0
7;31;22;0;0;21.4;1;0;21.4;0;0
7;31;23;0;0;20.7;3.1;0;20.7;0;0
8;1;0;0;0;20.4;6.2;0;20.4;0;0
8;1;1;0;0;20.2;5.2;0;20.2;0;0
8;1;2;0;0;19.9;4.1;0;19.9;0;0
8;1;3;0;0;19.5;3.1;0;19.5;0;0
8;1;4;0;0;18.8;1;0;18.8;0;0
8;1;5;0;3;18;2.1;3;16.2;22.598;0
8;1;6;54;54;20.8;2.1;62.375;20.7;439.598;387.878
8;1;7;297;124;23;2.1;223.075;27.432;1529.434;1453.423
8;1;8;509;160;25;2.1;416.884;34.973;2868.086;2755.132
8;1;9;689;149;26.3;4.1;601.125;38.628;4141.626;3986.254
8;1;10;757;153;27;6.2;741.728;39.532;5126.146;4933.123
8;1;11;558;308;28;8.2;788.37;39.353;5465.97;5258.967
8;1;12;253;442;29.3;9.8;669.704;37.913;4671.22;4496.121
8;1;13;334;410;29.5;9.8;708.075;38.536;4926.95;4741.887
8;1;14;409;347;29.8;9.8;690.011;38.632;4796.277;4616.341
8;1;15;463;272;30;9.8;615.694;37.852;4281.615;4121.148
8;1;16;265;270;30;9.8;431.648;35.394;3018.077;2900.496
8;1;17;113;193;29;9.8;243.933;31.794;1719.47;1638.692
8;1;18;0;91;26.9;9.8;91;27.529;659.096;602.902
8;1;19;0;23;24;8.2;23;23.546;168.928;122.436
8;1;20;0;0;24;8.8;0;24;0;0
8;1;21;0;0;23;12.9;0;23;0;0
8;1;22;0;0;22.5;10.9;0;22.5;0;0
8;1;23;0;0;22;8.8;0;22;0;0
8;2;0;0;0;22;6.2;0;22;0;0
8;2;1;0;0;21.4;5.5;0;21.4;0;0
8;2;2;0;0;20.9;4.8;0;20.9;0;0
8;2;3;0;0;20.3;4.1;0;20.3;0;0
8;2;4;0;0;19;4.1;0;19;0;0
8;2;5;0;3;19;4.1;3;17.608;22.49;0
8;2;6;50;53;20.1;4.1;60.617;20.001;429.311;377.795
8;2;7;295;123;22.1;5.1;220.663;25.256;1523.425;1447.562
8;2;8;509;159;24.1;6.2;414.713;30.504;2898.206;2784.33
8;2;9;693;147;26.1;7.2;600.287;35.104;4188.535;4031.465
8;2;10;781;146;27.5;5.6;751.851;41.002;5167.29;4972.601
8;2;11;830;144;29;4.1;856.953;47.183;5767.639;5547.804
8;2;12;834;156;30.8;4.1;905.034;50.114;6027.474;5796.266
8;2;13;825;158;32;4.1;892.651;51.129;5921.233;5694.711
8;2;14;812;146;33;4.1;825.3;50.737;5477.123;5269.653
8;2;15;751;149;33.5;5.1;704.781;47.281;4724.333;4547.189
8;2;16;665;137;34;5.1;540.99;44.514;3630.485;3492.99
8;2;17;490;132;33;7.2;351.515;38.344;2360.089;2262.077
8;2;18;223;102;31.3;8.2;162.775;33.25;1078.511;1013.18
8;2;19;0;27;29.1;5.8;27;28.832;194.656;147.681
8;2;20;0;0;26.8;3.4;0;26.8;0;0
8;2;21;0;0;24.6;1;0;24.6;0;0
8;2;22;0;0;24;3.1;0;24;0;0
8;2;23;0;0;22.6;2;0;22.6;0;0
8;3;0;0;0;21.3;1;0;21.3;0;0
8;3;1;0;0;20.4;1;0;20.4;0;0
8;3;2;0;0;19.4;1;0;19.4;0;0
8;3;3;0;0;18.5;1;0;18.5;0;0
8;3;4;0;0;18;3.1;0;18;0;0
8;3;5;0;3;18;2.1;3;16.201;22.598;0
8;3;6;47;51;20;2.1;58.029;19.761;411.71;360.544
8;3;7;289;123;23;3.1;217.938;26.813;1496.383;1421.185
8;3;8;499;162;26;1;411.527;37.872;2800.383;2689.485
8;3;9;682;151;27.5;3.1;595.63;40.859;4069.028;3916.265
8;3;10;768;151;29;5.1;745.221;43.136;5081.023;4889.818
8;3;11;814;152;30;5.1;849.627;46.345;5736.405;5517.917
8;3;12;825;160;28.7;5.1;899.346;46.129;6081.042;5847.453
8;3;13;821;160;29;7.2;889.435;43.09;6082.453;5848.801
8;3;14;808;148;30;7.2;822.216;43.041;5617.939;5404.521
8;3;15;750;149;30;7.2;702.286;41.091;4817.72;4636.948
8;3;16;664;137;29;6.2;538.674;38.212;3699.57;3559.725
8;3;17;492;130;26;7.2;349.018;31.167;2402.932;2303.703
8;3;18;219;101;24.4;8.2;160.008;26.182;1086.634;1021.118
8;3;19;0;25;23.9;6.8;25;23.504;183.644;136.876
8;3;20;0;0;23.3;5.5;0;23.3;0;0
8;3;21;0;0;22.8;4.1;0;22.8;0;0
8;3;22;0;0;22.4;4.1;0;22.4;0;0
8;3;23;0;0;22;4.1;0;22;0;0
8;4;0;0;0;22.2;4.1;0;22.2;0;0
8;4;1;0;0;20.8;3.4;0;20.8;0;0
8;4;2;0;0;19.4;2.8;0;19.4;0;0
8;4;3;0;0;18;2.1;0;18;0;0
8;4;4;0;0;17;1;0;17;0;0
8;4;5;0;2;16;1;2;13.622;15.197;0
8;4;6;44;50;19.8;2.1;56.456;19.509;401.664;350.696
8;4;7;287;122;25;3.1;215.54;28.787;1468.559;1394.042
8;4;8;500;161;26;2.1;409.847;35.773;2809.165;2698.001
8;4;9;683;150;27;3.1;593.796;40.318;4063.87;3911.291
8;4;10;756;157;28;5.1;740.387;42.03;5068.759;4878.046
8;4;11;771;176;32;7.2;835.241;45.127;5665.38;5449.939
8;4;12;655;266;32.9;8.2;851.688;45.341;5776.576;5556.354
8;4;13;522;341;34;8.2;803.698;45.779;5442.277;5236.266
8;4;14;405;353;34;5.1;690.044;47.478;4640.215;4466.305
8;4;15;240;348;33;8.2;524.472;40.557;3615.658;3478.664
8;4;16;238;259;33;5.1;402.342;40.585;2759.973;2650.293
8;4;17;143;197;31;8.8;260.241;34.253;1813.205;1730.017
8;4;18;52;104;30;8.7;117.846;31.138;824.362;764.659
8;4;19;0;21;30;7.2;21;29.624;150.974;104.818
8;4;20;0;0;27.3;6.7;0;27.3;0;0
8;4;21;0;0;24.7;6.2;0;24.7;0;0
8;4;22;0;0;24;6.2;0;24;0;0
8;4;23;0;0;23.2;5.1;0;23.2;0;0
8;5;0;0;0;22.5;4.1;0;22.5;0;0
8;5;1;0;0;21.8;4.8;0;21.8;0;0
8;5;2;0;0;21;5.5;0;21;0;0
8;5;3;0;0;20.3;6.2;0;20.3;0;0
8;5;4;0;0;19;5.1;0;19;0;0
8;5;5;0;2;18;5.1;2;16.779;15.036;0
8;5;6;37;50;19.2;3.1;55.324;18.926;397.046;346.17
8;5;7;256;133;21;3.1;215.769;24.725;1500.117;1424.827
8;5;8;522;153;23;8.2;411.551;28.319;2893.447;2779.717
8;5;9;667;167;23;8.2;598.926;31.225;4237.621;4078.764
8;5;10;775;155;24;6.2;751.431;36.657;5246.673;5048.75
8;5;11;822;154;26;3.1;855.177;45.919;5782.741;5562.253
8;5;12;833;163;26.9;5.1;906.145;44.453;6165.477;5928.109
8;5;13;834;160;28;1;897.472;56.192;5836.551;5613.729
8;5;14;820;148;28;4.1;828.535;45.89;5600.225;5387.56
8;5;15;772;139;28;3.1;704.727;44.723;4767.688;4588.864
8;5;16;668;139;28;2.1;539.492;42.449;3645.643;3507.634
8;5;17;477;139;27;5.1;348.517;33.463;2380.154;2281.572
8;5;18;237;95;26.1;5.1;157.329;28.567;1050.486;985.79
8;5;19;0;23;24;4.1;23;23.488;168.961;122.469
8;5;20;0;0;21;4.1;0;21;0;0
8;5;21;0;0;20.2;4.1;0;20.2;0;0
8;5;22;0;0;19;5.1;0;19;0;0
8;5;23;0;0;18.4;4.6;0;18.4;0;0
8;6;0;0;0;17.8;4.1;0;17.8;0;0
8;6;1;0;0;16.4;3.4;0;16.4;0;0
8;6;2;0;0;14.9;2.8;0;14.9;0;0
8;6;3;0;0;13.5;2.1;0;13.5;0;0
8;6;4;0;0;14;5.1;0;14;0;0
8;6;5;0;2;15;5.1;2;13.736;15.191;0
8;6;6;7;45;16;7.2;45.987;15.669;344.004;294.167
8;6;7;108;134;17;7.2;168.633;18.67;1225.645;1156.927
8;6;8;82;240;18;5.1;280.417;22.421;2054.824;1965.248
8;6;9;25;307;19.8;5.1;323.133;25.25;2357.53;2259.59
8;6;10;209;353;21;4.1;513.4;31.32;3662.971;3524.374
8;6;11;358;371;23;5.1;675.635;35.622;4749.512;4571.393
8;6;12;461;375;24.1;3.1;785.303;42.349;5387.074;5183.362
8;6;13;320;424;25;5.1;706.26;38.647;4912.048;4727.574
8;6;14;209;389;25;5.1;561.961;35.776;3948.49;3800.007
8;6;15;69;330;21.1;6.2;380.387;27.293;2754.781;2645.258
8;6;16;11;238;21;5.1;244.564;25.11;1785.464;1702.993
8;6;17;0;123;21;4.1;123;22.782;905.8;844.324
8;6;18;0;38;19;2.1;38;18.597;283.908;235.235
8;6;19;0;8;17;2.1;8;15.438;60.416;15.93
8;6;20;0;0;18;3.1;0;18;0;0
8;6;21;0;0;17.5;2.1;0;17.5;0;0
8;6;22;0;0;17;3.1;0;17;0;0
8;6;23;0;0;16;2.1;0;16;0;0
8;7;0;0;0;16.2;1;0;16.2;0;0
8;7;1;0;0;15.7;1;0;15.7;0;0
8;7;2;0;0;15.2;1;0;15.2;0;0
8;7;3;0;0;14.7;1;0;14.7;0;0
8;7;4;0;0;14;1;0;14;0;0
8;7;5;0;2;14;2.1;2;12.093;15.275;0
8;7;6;33;46;15.5;1;50.559;14.736;368.475;318.159
8;7;7;258;121;19;1;203.049;23.597;1410.663;1337.552
8;7;8;386;173;21;1;362.313;31.339;2529.714;2426.838
8;7;9;213;299;21.4;3.1;435.97;31.029;3104.272;2983.987
8;7;10;218;381;23;3.1;547.835;35.365;3852.105;3706.999
8;7;11;224;436;23;3.1;626.134;37.404;4374.186;4210.302
8;7;12;226;462;23;5.1;662.659;35.55;4661.978;4487.234
8;7;13;468;355;23;5.1;766.748;37.589;5352.438;5150.162
8;7;14;606;267;24;5.1;767.034;38.764;5325.792;5124.618
8;7;15;703;167;23;5.1;678.499;36.072;4739.963;4562.214
8;7;16;469;208;22.5;4.6;486.502;32.36;3421.437;3290.924
8;7;17;192;184;22;4.1;267.131;27.4;1897.147;1811.768
8;7;18;0;81;21;6.2;81;21.645;598.858;543.913
8;7;19;0;13;20;4.1;13;19.018;96.986;51.83
8;7;20;0;0;19;3.1;0;19;0;0
8;7;21;0;0;20.1;2.1;0;20.1;0;0
8;7;22;0;0;20;0;0;20;0;0
8;7;23;0;0;19;3.1;0;19;0;0
8;8;0;0;0;17.8;2.1;0;17.8;0;0
8;8;1;0;0;17;1.7;0;17;0;0
8;8;2;0;0;16.3;1.4;0;16.3;0;0
8;8;3;0;0;15.5;1;0;15.5;0;0
8;8;4;0;0;15;2.1;0;15;0;0
8;8;5;0;1;15;1;1;12.622;7.624;0
8;8;6;27;46;21.5;7.2;49.651;21.3;356.153;306.079
8;8;7;270;119;20;1;204.14;24.647;1409.047;1335.974
8;8;8;446;171;23;1;388.637;34.136;2680.718;2573.406
8;8;9;578;183;24.8;3.1;553.35;37.168;3832.76;3688.326
8;8;10;662;203;25;3.1;708.169;41.233;4862.83;4680.292
8;8;11;733;200;26;4.6;820.588;42.647;5617.382;5403.988
8;8;12;787;180;27;6.2;877.016;42.112;6019.366;5788.518
8;8;13;797;178;26.5;6.2;877.353;41.681;6030.563;5799.219
8;8;14;822;137;26;6.2;813.214;40.081;5616.026;5402.689
8;8;15;759;143;25;6.2;693.18;36.936;4825.195;4644.13
8;8;16;670;130;25;7.2;525.863;33.1;3672.808;3533.875
8;8;17;484;126;24;5.1;333.983;30.112;2299.417;2203.114
8;8;18;207;94;23;6.2;146.302;24.893;992.554;929.158
8;8;19;0;20;22;5.1;20;21.404;147.99;101.889
8;8;20;0;0;21;3.1;0;21;0;0
8;8;21;0;0;19.9;1;0;19.9;0;0
8;8;22;0;0;18.8;1.4;0;18.8;0;0
8;8;23;0;0;17.8;1.7;0;17.8;0;0
8;9;0;0;0;16.7;2.1;0;16.7;0;0
8;9;1;0;0;16.5;2.1;0;16.5;0;0
8;9;2;0;0;16.2;2.1;0;16.2;0;0
8;9;3;0;0;16;2.1;0;16;0;0
8;9;4;0;0;17;2.1;0;17;0;0
8;9;5;0;1;18;3.1;1;16.433;7.527;0
8;9;6;26;44;17.9;4.1;47.44;17.464;344.752;294.9
8;9;7;270;117;21;4.1;201.408;24.078;1391.103;1318.463
8;9;8;469;164;23;3.1;391.689;31.219;2726.383;2617.71
8;9;9;644;160;24;4.1;571.134;35.662;3973.896;3824.516
8;9;10;571;244;25;3.1;678.448;40.608;4670.986;4495.896
8;9;11;323;391;27;3.1;663.75;42.493;4549.444;4378.99
8;9;12;109;385;27.8;3.1;481.29;39.157;3341.951;3214.042
8;9;13;249;433;28;5.1;650.9;40.159;4502.016;4333.354
8;9;14;469;318;27;6.2;702.618;38.925;4876.569;4693.492
8;9;15;599;215;26.9;6.2;647.525;37.944;4494.454;4326.075
8;9;16;467;207;27;5.1;481.493;36.176;3338.113;3210.329
8;9;17;332;155;26.1;4.6;296.556;31.815;2047.989;1958.597
8;9;18;113;96;25.2;4.1;124.143;27.187;858.216;797.78
8;9;19;0;17;24;4.1;17;23.29;124.971;79.298
8;9;20;0;0;24;3.1;0;24;0;0
8;9;21;0;0;23.1;2.1;0;23.1;0;0
8;9;22;0;0;22;1;0;22;0;0
8;9;23;0;0;22;2.1;0;22;0;0
8;10;0;0;0;22.9;3.1;0;22.9;0;0
8;10;1;0;0;22.5;2.4;0;22.5;0;0
8;10;2;0;0;22;1.7;0;22;0;0
8;10;3;0;0;21.6;1;0;21.6;0;0
8;10;4;0;0;20;3.1;0;20;0;0
8;10;5;0;1;19;2.1;1;17.232;7.506;0
8;10;6;0;34;21.5;4.1;34;20.845;252.068;204.004
8;10;7;58;119;22;3.1;136.973;23.821;986.539;923.277
8;10;8;53;218;23;4.1;243.596;27.199;1757.847;1676.086
8;10;9;27;297;24.8;4.1;314.173;30.744;2247.761;2152.9
8;10;10;63;349;27;6.2;396.79;33.261;2813.871;2702.565
8;10;11;77;389;28;4.1;453.847;37.216;3173.695;3051.209
8;10;12;78;412;28;2.1;480.724;40.265;3324.613;3197.269
8;10;13;77;406;25;7.2;473.194;32.051;3371.851;3242.965
8;10;14;76;375;25;5.1;437.126;33.024;3103.299;2983.044
8;10;15;61;327;27;5.1;370.872;33.731;2624.902;2519.241
8;10;16;25;266;26;4.1;280.616;31.495;2001.613;1913.465
8;10;17;18;169;26;4.1;176.613;29.096;1268.352;1198.633
8;10;18;0;76;24.4;5.1;76;24.987;555.396;501.342
8;10;19;0;10;23;3.1;10;21.923;73.862;29.13
8;10;20;0;0;22;2.1;0;22;0;0
8;10;21;0;0;22;2.1;0;22;0;0
8;10;22;0;0;22;4.1;0;22;0;0
8;10;23;0;0;20;1;0;20;0;0
8;11;0;0;0;20;1;0;20;0;0
8;11;1;0;0;19.6;1.7;0;19.6;0;0
8;11;2;0;0;19.1;2.4;0;19.1;0;0
8;11;3;0;0;18.7;3.1;0;18.7;0;0
8;11;4;0;0;18;1;0;18;0;0
8;11;5;0;1;18;2.1;1;16.179;7.533;0
8;11;6;0;24;18.5;1;24;16.944;180.325;133.619
8;11;7;195;117;20;0;176.89;24.985;1230.135;1161.312
8;11;8;466;163;23;3.1;386.864;31.048;2692.274;2584.619
8;11;9;680;146;24.9;4.1;576.87;36.669;3995.727;3845.574
8;11;10;754;158;27;4.1;728.217;42.256;4978.311;4791.211
8;11;11;730;194;29;3.1;807.094;47.741;5419.219;5214.17
8;11;12;465;356;28.8;5.1;764.599;43.624;5219.466;5022.654
8;11;13;461;322;28;6.2;723.138;40.429;4994.854;4807.097
8;11;14;327;367;27;5.1;633.421;39.188;4393.292;4228.699
8;11;15;197;362;26.5;6.2;503.103;34.975;3540.09;3405.637
8;11;16;130;277;26;6.2;352.584;31.717;2503.402;2401.289
8;11;17;65;172;25;5.1;199.263;28.261;1425.745;1352.269
8;11;18;0;74;25.1;4.1;74;25.806;539.229;485.504
8;11;19;0;14;24;4.1;14;23.121;102.978;57.711
8;11;20;0;0;25;4.1;0;25;0;0
8;11;21;0;0;23.3;2.1;0;23.3;0;0
8;11;22;0;0;22;2.1;0;22;0;0
8;11;23;0;0;21.5;1;0;21.5;0;0
8;12;0;0;0;21;0;0;21;0;0
