"PVWatts: Hourly PV Performance Data"
"Requested Location:","toulouse"
"Location:","MONTPELLIER, FRANCE"
"Lat (deg N):","43.58"
"Lng (deg E):","3.97"
"Elev (m):","6"
"DC System Size (kW):","8.505"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","0"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","5","5","0","0","12","8.2","0","12","0","0"
"1","5","6","0","0","12.3","3.1","0","12.3","0","0"
"1","5","7","0","0","12","3","0","12","0","0"
"1","5","8","0","5","11","4.1","5","9.518","39.233","0"
"1","5","9","0","47","13.8","5.1","47","13.367","362.568","312.369"
"1","5","10","7","107","15","8.7","108.989","15.626","829.327","769.517"
"1","5","11","14","153","17","7.2","158.097","18.569","1186.584","1118.774"
"1","5","12","35","168","17.1","8.2","182.047","18.937","1359.027","1287.157"
"1","5","13","123","175","18","8.2","223.38","20.472","1631.111","1552.569"
"1","5","14","134","163","18","9.7","208.642","20.046","1513.288","1437.674"
"1","5","15","121","109","17.4","9.8","138.87","18.505","992.306","928.915"
"1","5","16","18","41","15","6.1","43.144","14.74","322.586","273.166"
"1","5","17","0","2","14","4.1","2","12.586","15.482","0"
"1","5","18","0","0","10.9","4.1","0","10.9","0","0"
"1","5","19","0","0","10","1","0","10","0","0"
"1","5","20","0","0","8","4.1","0","8","0","0"
"1","5","21","0","0","8.4","3.1","0","8.4","0","0"
"1","5","22","0","0","8","3","0","8","0","0"
"1","5","23","0","0","8","2","0","8","0","0"
"1","6","0","0","0","8.3","3.1","0","8.3","0","0"
"1","6","1","0","0","8","2","0","8","0","0"
"1","6","2","0","0","7.1","3.1","0","7.1","0","0"
"1","6","3","0","0","6.2","4.1","0","6.2","0","0"
"1","6","4","0","0","6","3","0","6","0","0"
"1","6","5","0","0","7","4.1","0","7","0","0"
"1","6","6","0","0","7.2","4.1","0","7.2","0","0"
"1","6","7","0","0","7","4.1","0","7","0","0"
"1","6","8","0","10","7","0","10","3.181","80.644","35.788"
